#
 1110738     736057.0543748  -129.9995    45.9691    1.822
AS1F  U         38.9296         38.9296         88.4357         235.2174
AS2F  U         22.7471         22.7471        186.9646         494.2278
CC1F  U         24.2300         24.2300        361.5997         962.0123
EC1F  U         29.9570         29.9570        391.2776        1592.6850
EC2F  U         15.5843         15.5843        220.0157         569.8350
EC3F  U         29.6385         29.6385        189.9106         753.6369
 1030174     735994.9654431  -129.9988    45.9693    1.860
AS2G  U         38.6817         38.6817         78.0917         220.1678
CC1G  U         84.0663         84.0663        226.2440         700.4325
EC1G  U         34.7620         34.7620        104.2903         685.5248
EC2G  U         29.9301         29.9301         68.4547         185.9084
EC3G  U         36.6897         36.6897         77.1105         263.7896
 1060834     736028.4305726  -129.9987    45.9693    1.889
AS1H  U         17.7401         17.7401         32.6057          99.5078
AS2H  U         29.3466         29.3466         43.4100         164.6299
CC1H  U          1.0000          1.0000          1.0000           1.0000
EC1H  U         14.2627         14.2627        115.6440         633.8349
EC2H  U         11.6485         11.6485         63.7749         185.8950
EC3H  U         26.0949         26.0949         67.7910         196.6059
 1036185     735999.1123868  -129.9983    45.9694    1.846
AS2I  U         34.4798         34.4798         51.8557         105.0387
CC1I  U         38.4395         38.4395         89.6610         349.7858
EC1I  U         25.7838         25.7838        156.4190         809.2745
EC2I  U         20.3650         20.3650         65.5910         192.8673
EC3I  U         36.3298         36.3298         77.9004         251.5684
 1110746     736057.0560726  -129.9986    45.9694    1.863
AS2J  U         52.7198         52.7198         77.3494         216.9822
CC1J  U        108.7442        108.7442        134.0480         406.9977
EC1J  U         45.7186         45.7186        187.1144         792.8748
EC2J  U         45.7071         45.7071        109.5723         254.5972
EC3J  U         82.5820         82.5820        136.4480         329.0755
 1039828     736003.3497061  -129.9993    45.9694    1.832
AS2K  U         96.8552         96.8552        237.7173         623.2873
CC1K  U        389.2526        389.2526        583.3088        2200.9952
EC1K  U        212.7118        212.7118        520.9554        2073.6605
EC2K  U        105.3262        105.3262        282.4281         694.9428
EC3K  U        189.5681        189.5681        313.2293         890.2217
 1039832     736003.3520179  -129.9993    45.9693    1.834
AS2L  U         28.1408         28.1408        105.4518         333.6711
CC1L  U         49.2076         49.2076        280.5606        1051.9183
EC1L  U         26.5526         26.5526        261.0589        1047.5595
EC2L  U         25.6989         25.6989        135.3216         364.1229
EC3L  U         30.5554         30.5554        126.3441         434.2572
#
257   736039.3013468   -129.9972   45.9679   1.70
 1115428     736059.6591612  -129.9945    45.9697    1.709
AS1A  D         26.4010         26.4010         32.4216          82.4547
AS2A  U          1.0000          1.0000          1.0000           1.0000
CC1A  U         34.1275         34.1275        152.9930         211.7700
EC1A  U         21.9394         21.9394        111.5397         625.5874
EC2A  U         22.8028         22.8028         55.3874         176.5773
 1040707     736004.1610372  -129.9972    45.9673    1.660
AS1B  D         65.5151         65.5151         64.6321         198.2360
