#
EC1C  D         32.0543         21.5704        450.5515        2080.1835
EC2C  U         38.5846         29.0170        179.9603        1111.3826
EC3C  U         31.0373         32.8204        224.0590         706.5817
 1086048     736044.8484025  -129.9917    45.9467    0.468
AS1D  U         28.0088         29.0686        115.8442         333.0305
AS2D  D         32.4980         35.6587        210.9841         180.7961
CC1D  U         24.3134         35.6809        477.5308         622.2425
EC1D  D         24.9522         48.4461        404.9046        2849.3719
EC2D  U         25.8319         33.3810        292.7792        1939.1962
EC3D  U         30.5632         58.0182        382.3767        1055.6791
 1089132     736046.1452328  -129.9933    45.9481    0.458
AS1E  U         35.7730         29.3324        125.2809          52.5762
AS2E  D         28.9145         26.7964         96.4097          83.1678
CC1E  U         26.5702         41.7295        104.9619         174.4212
EC1E  D         16.5998         36.8739        113.1762         597.7122
EC2E  U         30.1940         31.6475        100.7594         620.3934
EC3E  U         29.8528         57.5477         88.6140         409.0138
 1091683     736047.1632939  -129.9917    45.9467    0.454
AS1F  U         78.5202         29.0451        286.5082         101.5454
AS2F  D         30.7241         32.1681        125.0536         121.8244
CC1F  U         27.4578         23.0143        286.4920         351.9999
EC1F  D         36.1024         38.3155        254.9948        1918.5017
EC2F  U         29.6559         25.6178        172.8450         880.9982
EC3F  U         34.6592         53.0301        208.8624         744.9097
#
104   736032.6807318   -129.9892   45.9433   0.50
 1047568     736013.0838217  -129.9890    45.9431    0.480
AS1A  U         38.4829         28.4074        234.2170         680.2550
AS2A  D         31.1113         26.7566        143.3973         248.4646
CC1A  U         29.6362         56.5617        246.4624        1008.7697
EC1A  D         24.7158         32.8553        245.6417        2079.4817
EC2A  D         19.8417         20.9304        189.5673         808.3425
EC3A  D         28.6980         40.7955        317.9621        1429.0164
 1047601     736013.0943111  -129.9890    45.9429    0.511
AS1B  U         29.3079         27.8094         80.3366         323.5432
AS2B  D         32.9443         36.1359        119.1630         104.4601
CC1B  U         39.1510         53.8367         98.9819         281.6126
EC1B  D         32.7179         30.0100        124.6106         835.4570
EC2B  D         21.6882         28.7646        104.6410         478.9450
EC3B  D         36.3783         40.3081        133.8269         697.7579
 1059174     736027.0411533  -129.9902    45.9441    0.523
AS1C  U         27.4726         40.1672         62.2002         239.4843
AS2C  D         27.0287         26.2912         59.8782          83.9088
CC1C  U         27.3160         27.6780         88.7659         166.6394
EC1C  D         27.7847         24.7663        143.9390         804.1401
EC2C  D         27.9521         23.7367         91.5741         349.1941
EC3C  D         31.2670         50.7378         96.1390         415.8250
 1095097     736048.6839779  -129.9891    45.9431    0.487
AS1D  U         41.4868         67.0926        141.2601         405.3833
AS2D  D         25.3639         57.5071        164.7009         153.7987
CC1D  U         33.3381         40.8716        129.8933         209.8660
EC1D  D         45.3848         93.6179        158.8199        1107.5091
EC2D  D         40.3839         58.0280        164.9687         821.5053
EC3D  D         51.8516        118.4952        177.4670         881.2056
 1120047     736061.5003953  -129.9889    45.9430    0.501
AS1E  U         41.3014         43.1650        108.9836         443.0088
AS2E  D         45.3244         43.4106        142.0895         139.0714
CC1E  U         42.9915         22.5893        116.2336         185.5525
EC1E  D         29.2809         41.6569        140.2848        1041.0743
EC2E  D         24.5340         34.4353        150.2609         689.4961
EC3E  D         46.4661         57.6429        156.2105         883.7383
#
105   736034.4593254   -129.9894   45.9432   0.51
 1041687     736005.1884913  -129.9893    45.9430    0.515
AS1A  U         47.7518         44.4518        106.9897         276.8380
AS2A  D         36.8348         38.9481         86.4080         113.7075
CC1A  U         40.3036         47.6862         85.7156         225.2225
EC1A  D         41.8048         37.8546        137.8299         737.5571
EC2A  D         28.2816         39.8232        103.7731         424.0829
EC3A  D         45.1195         60.8028        120.3397         796.9211
 1041726     736005.2182186  -129.9893    45.9425    0.480
AS1B  U         38.6488         60.1127        118.4053         515.2625
AS2B  D         28.6094         29.5225        109.8444         155.5006
CC1B  U         63.0296         76.1349        126.0234         329.6748
EC1B  D         35.0707         58.5444        176.9204         792.5731
EC2B  D         47.1242         37.4646        139.6013         554.7178
EC3B  D         46.2141         64.3003        179.1278         895.8911
 1047375     736013.0517372  -129.9897    45.9429    0.494
AS1C  U         24.1078         32.6699         59.6148         252.5041
AS2C  D         34.8884         38.5211         68.0851         105.4640
CC1C  U         27.6220         56.2826         68.7748         185.5096
EC1C  D         25.3824         24.7235        137.2167         561.1497
EC2C  D         25.5704         17.0785         80.8176         428.0020
EC3C  D         28.9353         40.5358        134.4289         786.8720
 1047440     736013.0640443  -129.9893    45.9430    0.509
AS1D  U         41.1796         58.5424         70.2326         254.2567
AS2D  D         35.5285         35.6108        114.3561          92.5261
CC1D  U         28.1441         75.8771         57.9539         233.2413
EC1D  D         34.5301         72.8626        117.9756         561.8829
EC2D  D         33.1103         57.8610         95.6333         380.4403
EC3D  D         43.8265        174.7500        127.4408         666.5612
