#
EC2E  D         25.5704         17.0785         80.8176         428.0020
EC3E  D         28.9353         40.5358        134.4289         786.8720
 1047440     736013.0640443  -129.9893    45.9430    0.509
AS1F  U         41.1796         58.5424         70.2326         254.2567
AS2F  D         35.5285         35.6108        114.3561          92.5261
CC1F  U         28.1441         75.8771         57.9539         233.2413
EC1F  D         34.5301         72.8626        117.9756         561.8829
EC2F  D         33.1103         57.8610         95.6333         380.4403
EC3F  D         43.8265        174.7500        127.4408         666.5612
 1125187     736064.7167691  -129.9898    45.9435    0.534
AS1G  U         28.1507         40.4400        115.2654         217.5978
AS2G  D         29.3514         32.2405        104.3964         100.1819
CC1G  U         36.4693         41.4025         92.7851         155.3083
EC1G  D         31.5143         22.7073        213.5792         590.1264
EC2G  D         34.2874         28.4448        234.3311         424.5558
EC3G  D         29.5135         47.8206        241.3401         591.8092
 1125212     736064.7208949  -129.9897    45.9438    0.497
AS1H  U         30.2824         29.1183         96.4161         307.4945
AS2H  D         29.4933         31.9587         78.2692         137.6402
CC1H  U         34.7951         30.6493        126.4650         275.3532
EC1H  D         18.3573         32.9422        223.1059        1062.7656
EC2H  D         23.5683         31.3261        189.4482         588.8681
EC3H  D         43.2185         42.4341        194.2973         929.6767
ID1H  U          1.0000          1.0000          1.0000           1.0000
#
105   736050.7945208   -129.9891   45.9425   0.51
 1124049     736063.8064770  -129.9892    45.9428    0.476
AS1A  U         30.4795         36.2019        131.4066         405.3396
AS2A  D         45.8072         37.7784        207.9461         216.8535
CC1A  U         27.8425         23.5276         95.9346         156.1626
EC1A  D         21.8974         43.2583        200.0888        1169.6686
EC2A  D         25.8227         32.4887        118.4475         712.0946
EC3A  D         53.7985        127.4568        288.8279        1820.2409
 1049225     736015.1917820  -129.9886    45.9424    0.528
AS1B  U         39.1036         35.2421        233.4360         688.4724
AS2B  D         32.3338         45.8234        190.5455         271.0738
CC1B  U         42.9072         61.3326        153.5203         452.6923
EC1B  D         35.9525         33.3838        324.0874        1631.6305
EC2B  D         35.4546         30.0595        277.5969        1049.8328
