#
AS1B  U         38.7025         40.4341        249.2591         729.8294
AS2B  D         34.7078         36.8670        197.3203         335.3613
CC1B  U         58.5041         30.3309        791.1109        1695.7037
EC1B  D         24.7282         30.1744        649.1193        4244.8103
EC2B  D         41.3282         35.9767        285.2591        1584.0892
EC3B  D         44.2977         47.5007        683.9312        3355.0078
ID1B  U         48.5591         40.6618        196.6225         160.4398
 1088144     736045.6872705  -129.9892    45.9421    0.509
AS1C  U         85.3531         87.7486        723.4288         954.7270
AS2C  D         82.0486         60.3383        569.3983         346.1347
CC1C  U         70.9151         65.9318        260.3657         275.2633
EC1C  D         71.4891         86.7111        438.0785        1382.6589
EC2C  D         97.9996         56.2058        582.7657         947.2761
EC3C  D         83.4744        136.3381        460.9825        2043.9386
ID1C  U         54.8786         41.0104        217.8386         160.8013
 1103930     736053.8424013  -129.9893    45.9447    0.492
AS1D  U         38.1777         33.5269        233.2594         723.4655
AS2D  D         32.8601         49.0768        237.7497         232.7972
CC1D  U         25.3067         28.2380        332.0633         806.6083
EC1D  D         31.8509         23.9079        593.2694        3778.8381
EC2D  D         25.1308         29.1327        312.4909         870.6909
EC3D  D         26.7842         61.9029        237.2868        1345.1938
ID1D  U         43.2091         34.2903        126.2703         126.2146
#
105   736037.5820666   -129.9890   45.9436   0.43
 1034431     735998.0082920  -129.9883    45.9421    0.247
AS1A  U         95.9547         67.7515        298.9909        1219.7885
AS2A  D         45.2767         44.4376        293.4845         196.7236
CC1A  U         49.4511         95.2827        246.9482         589.2764
EC1A  D         58.0417         82.1053        954.4250        3353.6618
EC2A  D         60.7623         67.5953        804.3492        3571.0865
EC3A  D         81.6698        207.9579       2263.2498       12801.2488
ID1A  U         58.1027         33.7357        532.5918         651.9575
 1080263     736041.1695641  -129.9887    45.9446    0.456
AS1B  U         27.3529         28.5991        687.7067        1023.8422
AS2B  D         27.0737         29.3314        326.7361         337.9178
CC1B  U         21.6286         23.8530        826.5329         779.5670
EC1B  D         21.8327         25.3505       2427.6172        6775.5997
EC2B  D         16.5095         16.6023       1284.7669        2959.2612
EC3B  D         18.9589         26.6341       1249.3188        5195.4239
ID1B  U         22.7721         24.8250        187.4953         267.1232
 1094478     736048.2251295  -129.9897    45.9443    0.508
AS1C  U         40.2273         38.5855        205.4139         672.3208
AS2C  D         34.2147         34.0429        167.4569         257.3372
CC1C  U         35.2075         37.8951        446.9181         608.0326
EC1C  D         29.2880         31.7275        911.9350        3398.0798
EC2C  D         24.9876         27.4149        337.0583        1464.4679
EC3C  D         34.0156         58.5389        740.6990        3728.0837
ID1C  U         49.3600         46.0924        185.1234         163.5314
 1122380     736062.9252806  -129.9895    45.9435    0.490
AS1D  U         33.1417         32.1562        384.4089        1029.5073
AS2D  D         23.9882         49.0264        265.5101         405.9795
CC1D  U         17.1178         36.7327        206.3066         496.1615
EC1D  D         34.9555         43.2571       1231.7159        5389.0586
EC2D  D         17.0594         38.8835        414.5484        2500.4088
EC3D  D         43.8636         40.2480       1397.5492        6892.9441
ID1D  U         31.3071         30.4939        253.0984         268.2471
#
106   736048.1991422   -129.9889   45.9426   0.56
 1072638     736036.8192894  -129.9893    45.9423    0.490
AS1A  U         79.5641         37.8016        210.5814         535.8617
AS2A  D         41.9029         34.9216        191.2845         269.0781
CC1A  U         33.6833         29.4020        219.7323         132.3756
EC1A  D        116.8621        216.2822        170.9291        1303.8119
EC2A  D         33.3926         33.2566        200.2815         774.5260
EC3A  D         38.7697         47.2074        286.2466        1910.9952
ID1A  U         39.9092         28.4622        140.1839         126.4804
 1089847     736046.6493784  -129.9888    45.9442    0.471
AS1B  U         34.9800         34.9800        164.2512         213.3397
AS2B  D         28.7808         28.7808         69.6447         134.1561
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         26.8292         26.8292        261.1001        1925.5895
EC2B  D         26.0075         26.0075        230.8634         633.4913
EC3B  D         34.2602         34.2602        137.0496        1444.9004
ID1B  U         42.6295         42.6295         78.4261        1324.3593
 1099647     736051.0284005  -129.9893    45.9409    0.772
AS1C  U         39.8993         39.5789        299.9570        1083.2599
AS2C  D         30.4228         31.2967        353.7578         410.2212
CC1C  U         32.3058         42.7760        183.6780         257.1102
EC1C  D         26.8046         38.7935        366.4749        1682.5919
EC2C  D         26.5035         30.0915        574.7650        2595.7826
EC3C  D         49.3477         43.9420       1210.6246        4933.1715
ID1C  U         34.2496         32.1085        378.3626         412.5288
 1113228     736058.2995004  -129.9884    45.9432    0.487
AS1D  U         29.2667         32.9091        491.4663        1423.7408
AS2D  D         28.7929         33.8369        300.4018         629.7804
CC1D  U         36.3980         37.9134        316.4414         687.2901
EC1D  D         33.9440         25.5652       1305.7745        5040.2045
EC2D  D         19.3798         21.0611        648.7618        3765.9015
EC3D  D         52.9719         47.2354        980.6745        5176.6087
ID1D  U         47.6563         30.1346        323.4553         255.3164
#
107   736038.0682517   -129.9940   45.9472   0.38
 1030516     735995.0382561  -129.9901    45.9428    0.538
AS1A  U         42.2428         56.3498        469.7659        1627.6472
AS2A  D         36.2734         40.7862        675.5202         913.3955
CC1A  U         47.6156        111.6881        333.7669        1410.3455
EC1A  D         38.9945         57.8218        502.8797        3107.5451
EC2A  D         32.4130         38.6111        727.9426        3287.8832
EC3A  D         37.7948         95.4211       1459.7121        7654.4519
ID1A  U         74.5764         32.9505        336.4595         328.3910
 1072861     736036.8648991  -129.9903    45.9431    0.512
AS1B  U         30.9571         29.9136        256.3670         828.6002
AS2B  D         44.8410         30.1106        315.9333         458.8825
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         31.1684         41.4719        290.1312        2044.6549
EC2B  D         19.8881         34.8368        377.5075        1919.8414
EC3B  D         38.9058         52.5820        710.4654        3690.4908
ID1B  U         38.8966         35.5606        212.4614         160.3904
 1078146     736040.1158178  -129.9954    45.9496    0.328
AS1C  U         33.1860         34.2846         67.1231         158.9902
AS2C  D         36.4481         41.0436        118.8214         130.0565
CC1C  U         38.1884         32.3104        400.5606         958.4252
EC1C  D         35.4966         38.8582        785.7909        3101.5207
EC2C  D         20.6696         31.3355        239.7664        1215.3335
EC3C  D         30.5464         58.8031        310.3655        1510.3155
ID1C  U         34.6214         38.6851         85.8388         124.8890
 1078593     736040.5703955  -129.9977    45.9507    0.247
AS1D  U         31.7806         24.9208         96.3009         193.6245
AS2D  D         54.3264         40.9570        176.4320         198.3777
CC1D  U         38.3396         28.8511        809.6802        1419.2619
EC1D  D         36.2355         36.0940        684.6399        3298.5365
EC2D  D         19.2516         35.5325        369.0272        1471.1120
EC3D  D         40.9775         42.2018        374.7668        1645.3477
ID1D  U         45.8725         37.4299        113.7408         139.1586
 1140729     736077.7518901  -129.9965    45.9497    0.271
AS1E  U        457.5049        489.5928       1167.3298        3939.4715
AS2E  D        334.0595        524.2181       3041.4455        3489.9280
CC1E  U       1205.0270        698.6134       4840.1641       13389.6699
EC1E  D       1226.6741        988.5732       5666.6228       24210.0492
EC2E  D       1492.0471        831.8825       2148.4834       12466.6707
EC3E  D       1009.8692       1723.9817       2544.2171       14833.6506
ID1E  U        208.5413        244.1247       1035.8688        1221.1334
#
108   736022.3987827   -129.9883   45.9434   0.47
 1030515     735995.0381034  -129.9882    45.9435    0.479
AS1A  U        154.2847        115.4363       1048.0491        4487.5104
AS2A  D        112.8606        128.0287       1094.1252        1365.0169
CC1A  U        125.7559        248.0588       1045.7017        3552.0382
EC1A  D        158.5822        141.2560       4474.6681       22230.1553
EC2A  D        105.3587        134.1239       1649.3432       10567.6398
EC3A  D        125.8342        209.5784       6010.2179       25845.3238
ID1A  U         87.2536         79.5260       1046.1157        1354.0652
 1030550     735995.0422259  -129.9880    45.9432    0.464
AS1B  U        222.0882        212.2191       1088.7375        3806.3434
AS2B  D        299.2166        267.7203        769.0665         941.4823
CC1B  U        262.4493        345.4812        741.1912        2722.1631
EC1B  D        220.1284        299.8633       2288.2349       13508.1494
EC2B  D        243.3651        195.1451       1252.9666        5187.6173
EC3B  D        246.4475        295.0213       4276.0174       20146.2679
ID1B  U        214.6075        204.5878        975.5638        1230.0743
 1068632     736034.8256496  -129.9881    45.9436    0.474
AS1C  U         51.6078         31.4025        256.6792        1203.0713
AS2C  D         31.6188         37.4840        225.7301         262.7702
CC1C  U         28.1912         48.1729        184.2077         513.6895
EC1C  D         33.7992         45.0885        686.1778        4147.0660
EC2C  D         31.9434         39.5390        325.3191        1801.2969
EC3C  D         39.8593         51.4834       1206.9199        5844.6525
ID1C  U         30.4854         40.3961        248.1645         305.7823
 1125043     736064.6891521  -129.9887    45.9433    0.462
AS1D  U         37.1342         39.1396       2474.2750        7962.6095
AS2D  D         33.0141         37.9698       1703.1758        2676.4751
CC1D  U         32.7757         31.1706       1888.5496        3381.1443
EC1D  D         51.9621        162.7335       7624.7932       44644.3925
EC2D  D         43.7068         84.2072       3626.0986       16917.4129
EC3D  D         65.3261        233.4540       9924.7704       49246.6830
ID1D  U         31.0054         25.0375       2113.9770        2135.1638
#
109   736025.6040121   -129.9890   45.9423   0.53
 1048960     736015.1507972  -129.9889    45.9422    0.533
AS1A  U         51.7667         54.7746        246.9682         929.9559
AS2A  D         43.2234         33.7300        198.9648         353.5127
CC1A  U         54.6556         78.7273        133.4650         476.0980
EC1A  D         31.6892         60.1459        297.6245        1603.6962
EC2A  D         28.8064         54.6075        322.5859        1029.4693
EC3A  D         51.3544        160.0615        776.1762        4488.1442
ID1A  U         37.9269         29.9752        215.8611         251.2506
 1049024     736015.1636123  -129.9888    45.9421    0.537
AS1B  U         61.5796         57.5339       1106.0178        4018.5135
AS2B  D         89.0636        106.3716        839.4206        1591.6447
CC1B  U         70.1224        176.6070        505.6704        2142.3204
EC1B  D         66.6165        129.9196       1230.2349        7346.7635
EC2B  D         84.9978        110.1547       1391.5739        4839.0570
EC3B  D         76.3894        140.2698       2968.4706       20413.9705
ID1B  U         81.5436         66.5429        930.3530         983.2384
 1049218     736015.1905834  -129.9888    45.9423    0.535
AS1C  U         31.3075         40.6888        110.3452         325.9125
AS2C  D         27.4058         55.5191         94.8752         119.7142
CC1C  U         30.9554         48.7475         70.3769         211.8775
EC1C  D         32.9462         47.3796        128.1366         611.5807
EC2C  D         33.0401         36.8728        132.7546         449.3868
EC3C  D         38.1847         74.7934        271.2218        1512.9237
ID1C  U         32.4405         29.0011         84.9217          96.0020
 1072682     736036.8296625  -129.9893    45.9424    0.537
AS1D  U         37.4580         30.5924        994.3820        2565.6627
AS2D  D         28.0878         48.5285        962.9715        1317.8610
CC1D  U         27.1102         29.6949        842.0469         630.2881
EC1D  D         37.2531         25.9136        895.6580        6307.8430
EC2D  D         30.9528         34.4894       1162.9552        5692.3086
EC3D  D         37.4319         42.9688       1636.6279       11628.1865
ID1D  U         36.1360         31.9588        758.1396         773.8758
 1088122     736045.6854053  -129.9891    45.9424    0.496
AS1E  U         85.4084         69.0789        287.5717        1028.4037
AS2E  D         57.6971         42.0690        254.5319         410.5570
CC1E  U         81.9492         80.6965        228.7233         458.1194
EC1E  D         52.5167         63.3690        305.7544        1866.0320
EC2E  D         56.6684         51.2013        398.6484        1838.4557
EC3E  D         74.6308        190.6359        587.2839        4607.9632
ID1E  U         60.9471         33.1711        338.0406         362.2115
#
110   736046.3986523   -129.9886   45.9428   0.48
 1059934     736028.0891286  -129.9887    45.9428    0.488
