#
A10A  U         10.3634         10.3634         21.9786          60.9818
#
 15   738801.6057662   -129.9890   45.9550   1.66
 228000045     738801.6057662  -129.9890    45.9550    1.656
AAS1  D         38.0855         38.0855         30.0572          48.1100
AAS2  U         28.7987         28.7987         30.2852          46.0402
ACC1  U         88.4512         88.4512        244.3811         169.1071
AEC1  U         39.2915         39.2915        102.2468         380.1868
AEC2  U         80.2899         80.2899         92.9877         156.2977
AEC3  U         46.5675         46.5675         70.7925         267.8428
AID1  D         47.8573         47.8573         41.7044          58.5577
A07A  U         33.5473         33.5473         49.4893         107.7777
A08A  U         36.2118         36.2118        162.1932         213.5847
A10A  U         13.5419         13.5419         28.2786          51.7802
#
 16   738807.2125104   -129.9970   45.9490   1.66
 228600045     738807.2125104  -129.9970    45.9490    1.656
AAS1  D         58.6365         58.6365         27.4874          49.0116
AAS2  D         37.8474         37.8474         38.1856          47.1195
ACC1  U         97.7464         97.7464         47.2987         100.5630
AEC1  D         53.0632         53.0632         60.5069         342.4546
AEC3  U         53.8421         53.8421         49.8990         194.0351
AID1  U         56.2279         56.2279         39.2939          54.1996
A05A  U        189.3976        189.3976        163.3100        1244.3835
A07A  D         42.2119         42.2119         31.6344         347.7459
A08A  U         48.2914         48.2914        245.5923         312.1234
A10A  U         12.6055         12.6055         44.5566          70.8204
A11A  U        109.7494        109.7494        107.4592         803.3541
#
 17   738808.2523036   -129.9930   45.9530   1.31
 228700026     738808.2523036  -129.9930    45.9530    1.311
AAS1  D         82.8634         82.8634         89.6913          90.1565
AAS2  U         56.2874         56.2874         77.8733          57.3266
ACC1  U        152.6237        152.6237        376.2869         551.6974
AEC1  D        121.8190        121.8190        145.3343         446.7827
AEC2  U         86.4086         86.4086         62.7229         135.6529
AEC3  U        108.2684        108.2684         81.8541         435.1524
AID1  D         83.0761         83.0761        117.3670          80.0836
A05A  U        224.3249        224.3249        317.4956        2617.1083
A07A  U         72.2932         72.2932        140.1414         725.5177
A08A  U         79.4898         79.4898        552.6559        1146.3718
A10A  U         22.6745         22.6745         98.9799         162.8153
A11A  U        174.6829        174.6829        334.0331        1415.9113
#
 18   738812.3818919   -129.9900   45.9450   1.02
 229100071     738812.3818919  -129.9900    45.9450    1.024
AAS1  U         69.2316         69.2316        305.0331         174.6542
AAS2  U         50.3081         50.3081         83.6219         106.8666
ACC1  D         95.2217         95.2217         35.1628         111.8802
AEC1  D         71.2165         71.2165         33.6562         245.1220
AEC2  D         67.1793         67.1793        296.6722         393.1542
AEC3  D        145.2335        145.2335        659.5844        4328.9533
AID1  U         65.9958         65.9958        131.4832         250.9014
A10A  U         19.5645         19.5645         40.1153          70.5921
A11A  D        155.3834        155.3834         99.5667         945.6121
A12A  U         14.0257         14.0257         13.1712          42.8580
#
 19   738812.5668469   -129.9910   45.9400   1.60
 229100083     738812.5668469  -129.9910    45.9400    1.599
AAS1  U         56.2911         56.2911       1149.2190        1265.7111
AAS2  U         44.7762         44.7762        523.2808         202.1668
ACC1  U         82.5209         82.5209        169.2647         606.7850
AEC1  D         41.1691         41.1691        440.3876        1669.1042
AEC2  D         56.6535         56.6535       1281.6016        2129.6748
AEC3  D         57.8945         57.8945       4403.8804       14592.3355
AID1  D         67.4740         67.4740        956.4909        1958.0278
A05A  D        171.9817        171.9817         77.0922        1034.3069
A07A  U         37.1014         37.1014         46.9206         144.7106
A10A  U         12.9111         12.9111        247.4437         182.4854
A12A  U         12.1727         12.1727         64.0321         164.4158
A13A  D         52.8273         52.8273        451.2453         454.9249
A14A  U         34.6222         34.6222        113.2436         103.6836
#
 20   738819.2612650   -129.9890   45.9470   1.05
 229800332     738819.2612650  -129.9890    45.9470    1.052
AAS1  D         64.4069         64.4069         50.6260          67.3745
