event_id,mech_number,strike,dip,rake,norm_N,norm_E,norm_Z,norm_aux_N,norm_aux_E,norm_aux_Z
2148509,144,338.7,50.0,135.0,-0.2779,-0.7138,0.6428,0.8238,0.167,0.5417
2148509,145,101.1,65.0,100.0,0.8894,0.1741,0.4226,-0.4418,0.0905,0.8925
2148509,146,126.0,25.0,110.0,0.3419,0.2484,0.9063,-0.89,-0.2239,0.3971
2148509,147,144.9,55.0,130.0,0.4708,0.6703,0.5736,-0.7785,0.0099,0.6275
2148509,148,309.7,55.0,95.0,-0.6306,-0.5228,0.5736,0.4955,0.2976,0.816
2148509,149,102.2,55.0,100.0,0.8006,0.1732,0.5736,-0.5888,0.0503,0.8067
2148509,150,116.5,70.0,95.0,0.8412,0.4189,0.342,-0.3438,-0.0739,0.9361
2148509,151,279.8,50.0,95.0,-0.7548,-0.1306,0.6428,0.6458,0.0233,0.7631
2148509,152,137.0,40.0,110.0,0.4387,0.4698,0.766,-0.7413,-0.2926,0.604
2148509,153,135.8,50.0,135.0,0.5339,0.5494,0.6428,-0.8239,0.1669,0.5417
2148509,154,121.8,70.0,105.0,0.7989,0.4947,0.342,-0.4171,0.0461,0.9077
2148509,155,315.8,55.0,120.0,-0.5715,-0.5869,0.5736,0.7048,0.0071,0.7094
2148509,156,156.5,65.0,160.0,0.3619,0.8309,0.4226,-0.9192,0.2428,0.31
2148509,157,320.0,30.0,100.0,-0.3214,-0.383,0.866,0.6812,0.5417,0.4924
2148509,158,125.3,45.0,130.0,0.5771,0.4085,0.7071,-0.8135,0.2117,0.5417
2148509,159,292.9,50.0,95.0,-0.7056,-0.2982,0.6428,0.6238,0.169,0.7631
2148509,160,309.7,55.0,120.0,-0.6306,-0.5228,0.5736,0.7015,-0.0679,0.7094
2148509,161,101.6,60.0,110.0,0.8483,0.1743,0.5,-0.5291,0.2404,0.8138
2148509,162,134.3,65.0,95.0,0.6486,0.6331,0.4226,-0.3622,-0.2317,0.9029
2148509,163,84.7,70.0,95.0,0.9357,-0.0867,0.342,-0.3312,0.1182,0.9361
2148509,164,322.9,45.0,125.0,-0.4261,-0.5643,0.7071,0.8068,0.1166,0.5792
2148509,165,290.0,30.0,105.0,-0.4698,-0.171,0.866,0.8746,0.0429,0.483
2148509,166,319.1,50.0,105.0,-0.5017,-0.5789,0.6428,0.6022,0.2997,0.7399
2148509,167,330.0,45.0,130.0,-0.3536,-0.6124,0.7071,0.8275,0.1477,0.5417
2148509,168,303.6,55.0,100.0,-0.6826,-0.4528,0.5736,0.5667,0.1676,0.8067
2148509,169,340.4,40.0,135.0,-0.2153,-0.6057,0.766,0.8477,0.2736,0.4545
2148509,170,122.7,50.0,115.0,0.6444,0.4142,0.6428,-0.7186,0.0406,0.6943
2148509,171,120.5,55.0,120.0,0.7057,0.4159,0.5736,-0.6818,0.1786,0.7094
2148509,172,162.0,50.0,150.0,0.2367,0.7286,0.6428,-0.923,-0.038,0.383
2148509,173,118.2,45.0,105.0,0.623,0.3345,0.7071,-0.7242,-0.0951,0.683
2148509,174,324.8,40.0,135.0,-0.3707,-0.5251,0.766,0.8901,0.0348,0.4545
2148509,175,117.7,65.0,105.0,0.8025,0.4212,0.4226,-0.4817,0.0395,0.8754
2148509,176,109.6,50.0,105.0,0.7215,0.2574,0.6428,-0.6718,0.0351,0.7399
2148509,177,309.5,35.0,120.0,-0.4425,-0.3649,0.8192,0.8654,0.0656,0.4967
2148509,178,102.2,55.0,95.0,0.8006,0.1732,0.5736,-0.5769,-0.0356,0.816
2148509,179,285.7,40.0,110.0,-0.619,-0.1734,0.766,0.7854,-0.1351,0.604
2148509,180,300.0,30.0,105.0,-0.433,-0.25,0.866,0.8539,0.1941,0.483
2148509,181,142.9,70.0,165.0,0.5663,0.7499,0.342,-0.8242,0.5115,0.2432
2148509,182,123.2,65.0,105.0,0.7581,0.4967,0.4226,-0.4833,-0.0072,0.8754
2148509,183,100.3,75.0,100.0,0.9504,0.1725,0.2588,-0.2818,0.1253,0.9513
2148509,184,136.5,60.0,125.0,0.5967,0.6277,0.5,-0.6979,0.0983,0.7094
2148509,185,157.1,55.0,140.0,0.3185,0.7547,0.5736,-0.8491,-0.0418,0.5265
2148509,186,148.9,50.0,125.0,0.3956,0.656,0.6428,-0.7631,-0.1547,0.6275
2148509,187,113.5,40.0,120.0,0.5896,0.2561,0.766,-0.8077,0.1943,0.5567
2148509,188,330.0,30.0,95.0,-0.25,-0.433,0.866,0.5068,0.7036,0.4981
2148509,189,310.0,30.0,120.0,-0.383,-0.3214,0.866,0.8959,0.0991,0.433
2148509,190,144.8,40.0,145.0,0.3707,0.5251,0.766,-0.9226,0.1134,0.3687
2148509,191,315.9,45.0,105.0,-0.4922,-0.5076,0.7071,0.6613,0.3102,0.683
2148509,192,135.8,50.0,115.0,0.5339,0.5494,0.6428,-0.7091,-0.1232,0.6943
2148509,193,148.2,70.0,150.0,0.4947,0.7989,0.342,-0.8263,0.3105,0.4698
2148509,194,125.3,45.0,115.0,0.5771,0.4085,0.7071,-0.7672,-0.0253,0.6409
2148509,195,113.2,60.0,120.0,0.7958,0.3415,0.5,-0.5951,0.2887,0.75
2148509,196,101.6,60.0,95.0,0.8483,0.1743,0.5,-0.5054,-0.0149,0.8627
2148509,197,122.7,50.0,110.0,0.6444,0.4142,0.6428,-0.693,-0.0388,0.7198
2148509,198,123.2,65.0,125.0,0.7581,0.4967,0.4226,-0.6039,0.2901,0.7424
2148509,199,120.0,30.0,120.0,0.433,0.25,0.866,-0.8995,0.058,0.433
2148509,200,320.4,20.0,120.0,-0.218,-0.2635,0.9397,0.904,0.3083,0.2962
2148509,201,148.9,50.0,150.0,0.3956,0.656,0.6428,-0.9076,0.172,0.383
2148509,202,142.9,70.0,155.0,0.5663,0.7499,0.342,-0.8104,0.4308,0.3971
2148509,203,113.5,40.0,110.0,0.5896,0.2561,0.766,-0.7965,0.0269,0.604
2148509,204,139.4,45.0,105.0,0.4601,0.537,0.7071,-0.6409,-0.3503,0.683
2148509,205,144.8,40.0,140.0,0.3707,0.5251,0.766,-0.9098,0.0395,0.4132
2148509,206,95.1,75.0,100.0,0.962,0.0866,0.2588,-0.2694,0.1501,0.9513
2148509,207,103.1,50.0,95.0,0.7461,0.1735,0.6428,-0.6434,-0.0601,0.7631
2148509,208,132.7,55.0,95.0,0.6019,0.5556,0.5736,-0.479,-0.3235,0.816
2148509,209,138.8,55.0,105.0,0.5394,0.6165,0.5736,-0.5596,-0.2465,0.7912
2148509,210,128.8,65.0,110.0,0.7066,0.5675,0.4226,-0.5238,0.018,0.8517
2148509,211,110.0,30.0,110.0,0.4698,0.171,0.866,-0.8817,0.0431,0.4698
2148509,212,340.4,40.0,120.0,-0.2153,-0.6057,0.766,0.6933,0.4577,0.5567
2148509,213,133.9,35.0,120.0,0.4133,0.3977,0.8192,-0.8579,-0.1317,0.4967
2148509,214,126.6,55.0,120.0,0.6575,0.4885,0.5736,-0.6969,0.1051,0.7094
2148509,215,130.0,30.0,115.0,0.383,0.3214,0.866,-0.8729,-0.1808,0.4532
2148509,216,131.1,75.0,105.0,0.7274,0.6355,0.2588,-0.3586,0.0304,0.933
2148509,217,142.7,35.0,125.0,0.3477,0.4562,0.8192,-0.8629,-0.1859,0.4698
2148509,218,301.8,45.0,115.0,-0.6012,-0.3722,0.7071,0.7673,-0.0219,0.6409
2148509,219,120.0,30.0,105.0,0.433,0.25,0.866,-0.8539,-0.1941,0.483
2148509,220,318.0,25.0,115.0,-0.2828,-0.3141,0.9063,0.8637,0.3276,0.383
2148509,221,328.0,55.0,115.0,-0.4345,-0.6944,0.5736,0.634,0.2165,0.7424
2148509,222,139.4,45.0,130.0,0.4601,0.537,0.7071,-0.8406,0.0069,0.5417
