event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
1393,95.4,48.2,-133.1,A,14.5,13.4,31,27,0.0,100.0,55.2,-68.5,False,2015-03-20 03:55:11,1.0,45.957,-130.036,0.9,0.3,0.2
1395,195.8,27.8,-140.0,A,22.0,13.6,31,29,5.6,96.2,57.7,-53.6,False,2015-03-22 21:43:21,1.0,45.936,-130.016,0.7,0.3,0.2
1394,140.7,84.0,113.9,B,10.8,10.7,33,30,0.0,100.0,42.6,-86.6,False,2015-03-01 06:59:37,1.0,45.94,-129.981,1.5,0.3,0.2
1396,226.2,67.7,-95.3,A,20.3,23.8,32,31,0.0,97.8,61.6,-53.1,False,2015-03-16 14:47:26,1.0,45.925,-129.977,1.1,0.3,0.2
1397,295.8,46.8,-152.0,C,16.4,11.4,32,32,0.0,100.0,34.1,-118.4,False,2015-03-07 05:57:34,1.0,45.953,-129.987,1.7,0.3,0.2
1399,6.9,74.9,121.1,A,8.4,9.8,32,29,7.3,100.0,69.6,-44.4,False,2015-02-16 13:47:17,1.0,45.974,-130.003,1.5,0.3,0.2
1398,348.0,20.1,-175.2,A,17.3,22.0,31,28,0.0,97.5,67.7,-31.3,False,2015-03-20 09:12:41,1.0,45.946,-129.99,0.6,0.3,0.2
1400,3.3,39.7,175.8,A,10.2,6.0,31,25,7.8,100.0,63.6,-55.7,False,2015-03-25 06:56:31,1.0,45.942,-130.015,0.6,0.3,0.2
140,299.6,84.3,-128.7,A,9.9,11.1,39,38,0.0,100.0,52.3,-79.7,False,2015-03-08 09:31:55,1.0,45.9325,-129.977167,1.56,0.3,0.2
1401,196.3,21.0,-88.6,A,19.8,17.8,34,33,0.0,95.1,57.4,-65.9,False,2015-04-08 15:44:49,1.0,45.967,-129.999,1.6,0.3,0.2
1402,359.9,58.7,176.2,A,11.4,10.6,35,33,0.0,100.0,78.2,-28.4,False,2015-03-29 08:40:05,1.0,45.947,-129.993,0.3,0.3,0.2
1405,146.5,67.5,167.0,B,25.6,26.2,31,27,16.3,81.0,63.8,-52.0,False,2015-03-21 00:08:45,1.0,45.942,-130.014,0.5,0.3,0.2
1403,334.6,66.8,-122.8,A,19.4,17.8,33,29,0.0,99.8,62.7,-49.7,False,2015-03-23 04:59:32,1.0,45.927,-130.0,1.0,0.3,0.2
1404,14.1,43.1,-177.9,A,12.4,6.8,32,29,7.0,100.0,63.7,-48.0,False,2015-02-15 21:56:22,1.0,45.942,-130.012,0.4,0.3,0.2
