#
06AA  U         77.1778         77.1778        177.7242         373.6666
09AA  D         37.4673         37.4673         23.6095         503.4163
#
 24   738819.1990900   -130.0090   45.9640   2.31
 229800021     738819.1990900  -130.0090    45.9640    2.310
AS1A  U         61.8630         61.8630         62.3831          53.2766
AS2A  U         53.1165         53.1165         37.0184          55.3726
CC1A  D         79.1630         79.1630         46.4915          94.1467
EC1A  D         40.4674         40.4674         41.4911          46.2739
EC2A  D         67.5845         67.5845         23.8607          77.3673
EC3A  D         62.0786         62.0786         28.6285          62.4620
ID1A  U         51.6625         51.6625         50.1002          57.9311
05AA  D         97.5173         97.5173         66.3585         718.7722
06AA  U         62.1986         62.1986        168.2637         597.1850
11AA  U         95.8952         95.8952         62.8039         213.2002
#
 25   738819.2112529   -130.0020   45.9890   1.39
 229800078     738819.2112529  -130.0020    45.9890    1.390
AS1A  U        112.0131        112.0131         61.2723         111.0787
AS2A  D         80.6471         80.6471         65.2517          91.7690
CC1A  U        208.2783        208.2783        127.5943         319.6057
EC2A  D        114.4450        114.4450         35.5517         116.1871
ID1A  D         75.1094         75.1094         48.0111          71.6810
01AA  D         39.3911         39.3911        104.3085         195.4510
03AA  U        271.7758        271.7758       1065.4218        4639.5520
05AA  U        603.5304        603.5304        480.9451        8096.7411
06AA  U        325.1274        325.1274       1901.8295        4329.0850
10AA  U         48.5062         48.5062         55.0460         140.0469
#
 26   738819.2136697   -130.0010   45.9850   2.48
 229800100     738819.2136697  -130.0010    45.9850    2.480
AS2A  D         56.3598         56.3598         49.5547          63.5747
CC1A  D        144.3719        144.3719         76.3052         145.5242
EC1A  U         67.4126         67.4126         44.9279         114.8998
EC2A  D         80.5201         80.5201         48.8502          93.7915
ID1A  D         68.1468         68.1468         39.1765          61.8448
01AA  D         28.7354         28.7354         33.9554         170.8506
02AA  D        613.2491        613.2491        156.5118        1436.5384
03AA  D        452.6728        452.6728        734.3016        2231.2542
04AA  D         70.7944         70.7944         76.1037         242.4695
05AA  D        795.0035        795.0035        285.8703        3815.6537
06AA  U        328.2453        328.2453       1191.3374        1883.5252
07AA  U        123.9777        123.9777        244.7961         272.3700
#
 27   738819.2181002   -130.0100   45.9980   2.42
 229800124     738819.2181002  -130.0100    45.9980    2.420
AS2A  U         39.7728         39.7728         28.8801          40.3814
CC1A  U         80.8053         80.8053         28.8029         103.2925
EC1A  U         43.6124         43.6124         54.6410          49.8537
EC2A  D         80.6758         80.6758         44.5588          83.7880
EC3A  D         61.8851         61.8851         36.6031          74.9989
ID1A  D         56.3605         56.3605         48.4258          84.8002
01AA  U         20.0404         20.0404         30.2486          54.4018
03AA  U         80.4876         80.4876        519.8211         839.0226
05AA  D        183.9285        183.9285         93.3200         908.6456
06AA  U        130.5121        130.5121        434.7008         568.6389
#
 28   738819.2183826   -130.0040   45.9820   0.93
 229800126     738819.2183826  -130.0040    45.9820    0.930
AS1A  U         50.5910         50.5910         43.1656          55.4275
AS2A  D         39.1704         39.1704         30.3586          61.4058
CC1A  U         75.8623         75.8623         45.4263         122.2925
EC1A  U         62.3772         62.3772         51.7265         108.5707
EC2A  U         70.1946         70.1946         42.3545          75.1519
EC3A  U         56.9512         56.9512         36.5521          64.0216
ID1A  D         78.2608         78.2608         50.7599          62.8916
03AA  U        114.2684        114.2684        286.3016        1526.9253
05AA  D        174.5026        174.5026        241.5829        4862.3765
06AA  U        109.4215        109.4215        329.3011        2108.1938
07AA  U         42.6643         42.6643         65.8694         334.0722
#
 29   738819.2216865   -130.0000   45.9850   2.30
 229800141     738819.2216865  -130.0000    45.9850    2.300
AS1A  U         56.7850         56.7850         43.8716          57.2651
AS2A  D         46.4261         46.4261         26.4451          49.0011
CC1A  D         77.2311         77.2311         28.9937          79.7623
EC2A  D         61.0747         61.0747         59.8252          89.9071
EC3A  U         76.2960         76.2960         65.0675          64.3843
ID1A  U         54.4884         54.4884         42.3715          61.4997
01AA  D         21.6754         21.6754         33.5652          65.0585
03AA  U         60.0690         60.0690        715.5343        2094.0138
05AA  U        209.3183        209.3183        208.9508        3980.2818
06AA  U         60.9874         60.9874        726.1954        1597.8425
07AA  U         47.4439         47.4439        171.7600         313.1862
#
 30   738819.2242815   -130.0020   45.9850   2.41
 229800152     738819.2242815  -130.0020    45.9850    2.410
AS1A  D         59.5211         59.5211         49.5488          77.3424
AS2A  U         42.3480         42.3480         31.6068          54.4574
CC1A  U         76.6386         76.6386         56.6773         103.4604
EC1A  U         48.0029         48.0029         38.9574          47.3963
ID1A  U         81.0829         81.0829         61.2314          57.9104
01AA  U         21.1805         21.1805         25.5832          49.3353
03AA  U        131.9976        131.9976        177.0230        1324.1445
05AA  U        225.0969        225.0969        211.3284        4264.2145
06AA  U        116.4864        116.4864        261.7590        2081.6816
07AA  U         45.9793         45.9793         36.3522         307.0213
11AA  D        127.5789        127.5789        128.3956         590.0601
#
 31   738819.2365044   -129.9950   45.9590   2.42
 229800204     738819.2365044  -129.9950    45.9590    2.420
AS1A  U         55.8136         55.8136         39.0497          56.0244
AS2A  U         49.6740         49.6740         32.5312          60.0903
CC1A  U         99.9353         99.9353         31.7129         107.5190
EC2A  U         78.4921         78.4921         39.0469          91.0438
EC3A  U         70.4962         70.4962         32.6318          64.1494
ID1A  U         59.6345         59.6345         47.8805          61.0601
03AA  U        107.0249        107.0249        401.7844        1092.8097
05AA  D        151.7346        151.7346        163.2249        3311.6942
06AA  D         92.5410         92.5410        137.9375         764.1271
07AA  U         74.8934         74.8934         54.1803         257.9432
11AA  U        145.3231        145.3231        156.9117         959.6673
#
 32   738819.2369287   -130.0030   45.9610   0.65
 229800207     738819.2369287  -130.0030    45.9610    0.650
AS1A  U         62.7109         62.7109         48.3153          69.7651
AS2A  U         55.4495         55.4495         48.9162          43.1899
EC1A  U         70.5828         70.5828         60.4837          64.8609
EC2A  D         84.2232         84.2232         50.5502          89.9713
EC3A  U         69.0613         69.0613         62.1569          75.8606
ID1A  U         82.8782         82.8782         82.6826          73.8276
03AA  U         78.5410         78.5410        130.3705         562.0585
05AA  D        147.7125        147.7125        136.0327        1286.5222
06AA  U         80.8090         80.8090        298.4118         668.2287
07AA  U        151.7632        151.7632         96.1832          78.0795
11AA  U        197.2817        197.2817        160.4049         515.9601
#
 33   738819.2455078   -130.0070   45.9940   2.34
 229800256     738819.2455078  -130.0070    45.9940    2.340
AS1A  D         61.1977         61.1977         45.5427          82.2114
AS2A  U         49.1688         49.1688         52.3812          53.0637
EC1A  D         42.6334         42.6334         31.8384         100.9823
EC2A  U         89.9408         89.9408         28.2297         117.9159
EC3A  U         65.6818         65.6818         48.2040          93.6469
ID1A  D         69.0779         69.0779         48.9964          63.6835
03AA  D         99.6222         99.6222        234.1216        1132.7401
05AA  U        357.0056        357.0056        311.9196        4141.2646
06AA  U         64.1760         64.1760        269.3322        1539.5922
07AA  U         67.5139         67.5139        125.5828         212.0355
10AA  U         23.4828         23.4828         18.4813          60.5608
12AA  U         13.6271         13.6271         20.5163          23.8151
#
 34   738819.2510751   -130.0010   45.9800   2.43
 229800295     738819.2510751  -130.0010    45.9800    2.430
AS1A  U         82.0411         82.0411         40.1539          64.6085
AS2A  D         55.6494         55.6494         67.6466          67.9330
CC1A  D        115.6512        115.6512         44.5134         119.4795
EC1A  D         46.4834         46.4834         43.0603         143.9820
EC2A  D         73.8091         73.8091         39.6851          99.1563
EC3A  D         90.3840         90.3840         55.8261          71.0445
ID1A  U         66.9299         66.9299         49.2367          55.4394
03AA  U         97.7900         97.7900        698.8267        2287.1298
05AA  U        218.9601        218.9601        310.8479        6458.7317
06AA  U        111.3296        111.3296       1764.5668        2562.7369
07AA  U         70.4560         70.4560        351.5605         511.3940
10AA  U         18.6058         18.6058         35.4172         105.5524
11AA  D        254.2028        254.2028        118.6928        2128.5879
#
 35   738819.2612650   -129.9890   45.9470   2.38
 229800332     738819.2612650  -129.9890    45.9470    2.380
AS1A  D         64.4069         64.4069         50.6260          67.3745
EC1A  D         55.3847         55.3847         44.3895          44.7200
EC2A  D         62.5556         62.5556         53.1459          84.2019
EC3A  U         83.5190         83.5190         44.0669         129.4483
ID1A  U         56.6420         56.6420         38.9793          70.5644
02AA  U        141.4473        141.4473        110.2615         580.0681
03AA  D         54.6831         54.6831         62.2692         262.6822
05AA  D        215.1317        215.1317        160.9164        1881.6293
06AA  U         89.7811         89.7811        168.8252        1159.9300
#
 36   738819.2655285   -129.9980   45.9760   1.56
 229800338     738819.2655285  -129.9980    45.9760    1.560
AS1A  U         48.3502         48.3502         33.3747          64.1050
AS2A  U         32.6750         32.6750         31.8515          37.9210
CC1A  D         79.2172         79.2172         46.8823          89.6405
EC1A  U         59.8578         59.8578         26.7911          45.0462
EC2A  U         63.1758         63.1758         24.8712          92.4872
EC3A  U         65.6010         65.6010         42.0071          89.3770
ID1A  U         72.3732         72.3732         44.1985          83.6228
05AA  U        282.8001        282.8001         74.3238        1207.2964
06AA  U         89.4120         89.4120        170.8915         733.9771
#
 37   738819.2704545   -130.0040   45.9820   1.95
 229800350     738819.2704545  -130.0040    45.9820    1.950
AS1A  D         61.3017         61.3017         34.2761          60.4311
AS2A  U         36.7601         36.7601         24.6144          30.9516
CC1A  D         94.1611         94.1611         45.6088          99.9053
EC2A  U         58.3126         58.3126         30.3671         114.2839
EC3A  U         44.7114         44.7114         39.8304          64.8748
ID1A  U         58.3155         58.3155         42.8731          59.3427
03AA  D         51.1749         51.1749        305.9651         941.4375
05AA  U        154.8063        154.8063        528.2130        5325.2888
06AA  U         92.8323         92.8323       1043.9455        1235.1994
07AA  U         45.4610         45.4610        193.2308         831.6984
10AA  U         13.1441         13.1441         44.0867         101.3730
11AA  D         69.6257         69.6257        139.1393         923.8269
#
 38   738819.3237802   -130.0030   45.9860   1.74
 229800377     738819.3237802  -130.0030    45.9860    1.740
AS1A  D         48.1615         48.1615         22.4172          70.6779
AS2A  U         43.4550         43.4550         42.3894          41.8714
EC1A  U         52.5633         52.5633         25.4485          44.4082
EC2A  U         72.1738         72.1738         32.9195          78.4428
EC3A  U         62.2811         62.2811         51.2383          76.5707
ID1A  D         56.5844         56.5844         49.4157          58.6718
03AA  U         37.5586         37.5586        173.3534         881.0820
05AA  U        140.2205        140.2205        117.5578        2869.3041
06AA  U         88.0681         88.0681        494.2994        1342.1684
07AA  U         46.1226         46.1226         96.4229         229.8966
#
 39   738819.3417247   -129.9990   45.9450   2.11
 229800398     738819.3417247  -129.9990    45.9450    2.110
AS1A  D         65.6305         65.6305         48.0923          70.2551
AS2A  D         46.0619         46.0619         41.8297          49.2062
CC1A  D         98.0118         98.0118         32.0706          93.2890
EC1A  D         44.2981         44.2981         63.2543          50.3615
EC2A  U        100.9752        100.9752         35.1462          90.5918
EC3A  D         65.9711         65.9711         37.8073          67.2655
ID1A  D         59.4064         59.4064         45.8612          72.2820
03AA  U         49.6331         49.6331        121.6046         390.4221
06AA  U         72.0946         72.0946        352.3433         693.1199
07AA  U         37.2508         37.2508         58.8774         126.1217
11AA  D         90.9964         90.9964         60.5638         559.4461
#
 40   738821.1960306   -129.9960   45.9700   2.35
 230000021     738821.1960306  -129.9960    45.9700    2.350
AS1A  D         47.3882         47.3882         32.0480          50.9783
AS2A  U         38.4274         38.4274         40.8313          32.6500
CC1A  D         59.3996         59.3996         31.5592          74.0965
EC1A  D         41.6124         41.6124         62.1480         305.2988
EC2A  U         59.9523         59.9523         22.2186          75.6375
EC3A  U         50.0567         50.0567         33.4631          97.4055
ID1A  U         56.6543         56.6543         69.8348          48.3113
05AA  U        258.3397        258.3397        205.4747         918.3647
07AA  D         31.8058         31.8058         69.7012         220.8399
10AA  U         16.5547         16.5547         12.8429          88.1690
#
 41   738821.2281716   -129.9820   45.9080   0.77
 230000029     738821.2281716  -129.9820    45.9080    0.770
AS1A  U         52.4896         52.4896        736.8264         879.7875
CC1A  D         86.8718         86.8718         42.0615         195.4512
EC1A  U         45.2889         45.2889        108.2673         337.6106
EC2A  U         52.1425         52.1425        143.0776         364.5106
EC3A  D         56.9926         56.9926        333.2863        1411.5325
ID1A  D         54.4128         54.4128       1046.1298        1366.6343
07AA  D         36.7411         36.7411         56.9333         170.1883
12AA  U         10.7823         10.7823         33.3874         154.2115
13AA  U        288.3763        288.3763        746.4112        9900.3282
#
 42   738823.2682406   -130.0050   46.0160   2.37
