#
ID1C  U         43.3253         30.5187        278.0440         271.1603
 1113036     736058.1841551  -130.0200    45.9418    0.927
AS1D  U         30.1590         27.4946        546.9529        1053.5339
AS2D  D         38.1064         38.9062       1244.0598        1684.9838
CC1D  U         20.2151         28.3335        379.3366         825.9994
EC1D  U         21.0452         28.1712        402.5123        1111.5047
EC2D  U         29.1499         26.3624        211.3968        1150.4999
ID1D  U         28.5275         29.2964        238.4604         288.8457
 1127105     736066.2633105  -130.0197    45.9419    0.895
AS1E  U         82.3004        104.3006        952.9649        1703.2277
AS2E  D         80.0641         91.9839       2151.2384        2880.3394
CC1E  U         95.2298         74.8069        693.9438        1393.2589
EC1E  U         75.7465         80.6480        672.6527        1771.9462
EC2E  U         70.2466         65.0059        412.8974        1830.0326
ID1E  U         62.7102         81.9393        406.2886         461.4749
 1127110     736066.2731887  -130.0201    45.9420    0.919
AS1F  U         44.6365         42.1971        486.6360         977.4649
AS2F  D         35.7638         40.2740       1093.5967        1434.8950
CC1F  U         40.8060         32.8156        368.4267         618.9128
EC1F  U         38.9880         40.2741        315.4437         933.0684
EC2F  U         36.6467         36.1165        233.5498         968.5575
ID1F  U         48.9167         34.7980        232.9593         285.4822
#
104   736035.6725597   -129.9784   45.9338   1.49
 1049723     736016.1435290  -129.9786    45.9339    1.487
AS1A  U         28.0864         27.0912        200.4213         571.5661
AS2A  U         37.0844         33.9770        226.1572         118.7601
EC1A  D         26.2532         38.3339        195.1600         962.7844
EC2A  D         25.2212         24.1550        347.9862        1479.2407
EC3A  D         29.3965         50.4848       1417.6642        9036.5568
ID1A  U         31.7097         31.0064        664.1043         827.5957
 1067565     736034.6065783  -129.9778    45.9330    1.511
AS1B  U         45.5683         56.9282        315.2534         943.5408
AS2B  U         33.0811         42.8887        336.6083         200.0514
CC1B  D          1.0000          1.0000          1.0000           1.0000
EC1B  D         29.7953         53.8574        273.3948        1433.7644
EC2B  D         37.3133         61.3349        468.8692        2552.8816
EC3B  D         90.6945        326.8475       2380.4859       14407.4923
ID1B  U         66.8892         58.2795       1113.3260        1319.1150
 1088183     736045.6916503  -129.9785    45.9340    1.488
AS1C  U         81.3044        128.9955       1032.7653        3110.7107
AS2C  U         54.8202         69.8571        824.4703         664.5294
CC1C  D          1.0000          1.0000          1.0000           1.0000
EC1C  D         92.8477        196.7092        932.3221        4943.7963
EC2C  D        134.6731        182.4869       1579.7299        6754.5119
EC3C  D        170.0335        444.9913       7174.1863       42754.9899
ID1C  U         70.2362         88.5750       3498.2763        4354.7573
 1077190     736039.7478852  -129.9784    45.9340    1.497
AS1D  U         73.8653         35.0581        699.7890        1889.6993
AS2D  U         43.4513         42.1405        513.8822         417.5821
CC1D  D          1.0000          1.0000          1.0000           1.0000
EC1D  D         43.3137         54.1225        594.8303        3043.2035
EC2D  D         79.0720        113.1035       1088.0217        4596.0072
EC3D  D        157.6351        880.8698       4502.5742       27682.5981
ID1D  U         99.6846        107.6943       2162.9386        2557.7029
 1057302     736024.9370069  -129.9787    45.9339    1.474
AS1E  U         58.5279         77.4513        626.4042        1794.7025
AS2E  U         41.3885         37.6994        546.2663         406.2762
CC1E  D          1.0000          1.0000          1.0000           1.0000
EC1E  D         22.5497         64.2934        657.0884        2727.3584
EC2E  D         43.5803         78.2889       1098.5507        4424.6833
EC3E  D         80.1441        316.6363       4857.0446       27011.6903
ID1E  U         52.0123         48.6126       2068.7219        2476.4074
 1102327     736052.9087088  -129.9786    45.9340    1.479
AS1F  U         34.8996         24.3713        278.2440         729.6282
AS2F  U         31.0502         28.5476        225.6174         167.5613
CC1F  D          1.0000          1.0000          1.0000           1.0000
EC1F  D         33.5186         20.2375        281.8936        1266.5370
EC2F  D         28.0743         31.0884        467.8127        1878.0160
