ID YR MO DY HR MIN SEC latitude longitude DEPTH rms nPh Gap
225800010 2022 9 15 1 23 16.361017 45.91628 -129.993405 1.08125 0.23998 20 92.0032
225800012 2022 9 15 1 34 18.403978 45.917208 -129.993404 1.13875 0.198568 15 88.0247
225800013 2022 9 15 1 57 34.440922 46.000638 -130.028341 1.42625 0.219712 16 131.566
225800014 2022 9 15 2 20 40.282141 45.917208 -129.99535 1.08125 0.177374 19 151.452
225800015 2022 9 15 4 59 38.473712 45.994149 -130.025425 1.31125 0.196821 18 86.3278
225800017 2022 9 15 6 34 48.139575 45.977463 -129.99816 1.31125 0.103784 11 95.9054
225800022 2022 9 15 10 34 5.114857 45.925087 -129.995822 1.3975 0.377336 14 62.6201
225800026 2022 9 15 11 19 36.593269 45.904693 -130.005593 0.8225 0.477665 10 246.636
225800033 2022 9 15 12 15 20.169107 45.951043 -130.042529 0.4775 0.401501 9 260.54
225800038 2022 9 15 12 42 8.856224 45.941773 -130.036696 0.7075 0.458111 12 243.019
225800048 2022 9 15 13 19 28.598055 45.933894 -129.999214 -0.01125 0.340347 7 149.673
225800052 2022 9 15 13 48 40.89774 45.924624 -129.9856 1.36875 0.0683751 15 171.639
225800053 2022 9 15 13 56 51.2851 45.936211 -129.995802 -0.4425 0.423885 12 131.05
225900002 2022 9 16 3 56 30.227283 45.92555 -129.989493 1.48375 0.0753779 12 117.423
225900004 2022 9 16 4 33 9.033094 45.926478 -129.991438 1.13875 0.0873528 23 59.491
225900005 2022 9 16 5 40 15.296342 46.000638 -130.021516 1.36875 0.144585 16 121.04
225900008 2022 9 16 6 59 58.187173 45.954287 -129.987487 1.36875 0.0446575 12 112.849
225900011 2022 9 16 7 59 51.075916 45.910719 -130.012883 -0.47125 0.487819 14 145.916
225900012 2022 9 16 11 13 58.42463 45.999247 -130.026881 1.3975 0.183912 12 94.797
225900013 2022 9 16 11 45 52.216454 45.897277 -129.995875 0.1325 0.376361 11 280.124
225900016 2022 9 16 13 39 55.026497 45.954751 -130.030836 2.4325 0.324757 12 243.732
225900018 2022 9 16 14 2 0.515365 45.938529 -129.988493 1.48375 0.0807959 16 115.474
225900020 2022 9 16 14 18 25.25084 46.034473 -129.929279 -0.0975 0.479117 6 306.877
225900025 2022 9 16 21 55 9.830606 45.99971 -130.028342 1.71375 0.205996 17 93.4029
225900026 2022 9 16 22 18 5.054312 45.921843 -129.991447 0.10375 0.384766 23 139.679
226000001 2022 9 17 3 30 1.861358 46.008054 -130.027356 1.77125 0.209313 10 196.435
226000002 2022 9 17 3 50 7.881042 46.000638 -130.029316 1.71375 0.150405 11 173.545
226000004 2022 9 17 5 53 43.262832 45.920915 -129.997291 1.59875 0.159382 20 128.543
226000005 2022 9 17 5 53 49.751107 45.921843 -129.998262 1.19625 0.0809739 23 69.4137
226000008 2022 9 17 6 27 8.129016 45.924624 -129.993389 1.25375 0.127141 32 63.9047
226000010 2022 9 17 9 31 11.339034 45.957068 -129.991378 1.77125 0.0922861 12 104.443
226000011 2022 9 17 9 45 38.123098 45.967266 -129.998179 1.59875 0.221889 10 148.408
226000012 2022 9 17 9 46 48.813987 46.004345 -130.024436 1.25375 0.19922 11 174.596
226000017 2022 9 17 10 38 8.904275 45.986269 -130.005454 2.8925 0.401377 11 101.961
226000018 2022 9 17 16 8 41.501714 45.995307 -130.018356 1.35438 0.202378 27 77.1292
226000019 2022 9 17 20 34 0.386753 45.921379 -129.989988 1.3975 0.172468 18 77.3883
226000020 2022 9 17 21 23 11.315062 46.012225 -130.013211 1.0525 0.480552 14 171.286
226100000 2022 9 18 1 1 3.602066 45.920915 -129.993396 1.54125 0.133797 18 139.377
226100004 2022 9 18 5 24 45.118359 45.989977 -130.007398 1.8575 0.259412 11 128.804
226100008 2022 9 18 6 34 48.146733 46.003419 -130.034188 1.19625 0.321951 17 197.594
226100010 2022 9 18 7 29 8.004022 45.99971 -130.027367 1.48375 0.140127 12 93.0171
226100011 2022 9 18 7 32 53.499331 45.938065 -129.958792 0.2475 0.459419 11 265.344
226100013 2022 9 18 7 51 36.767931 45.92277 -129.985604 2.23125 0.103534 13 153.044
