2022 9 6122929.5045N55.44129W59.76 1.08  0.30  0.20 1.00              1 
A11A OO  HHZ I U
A12A OO  HHZ I U
A14A OO  HHZ I D
                                                                     25 
2022 911 44849.3845N59.34130W 1.20 1.66  0.30  0.20 1.00             26 
AAS2 OO  HHZ I D
ACC1 OO  HHZ I D
AEC1 OO  HHZ I D
AEC2 OO  HHZ I U
AEC3 OO  HHZ I U
AID1 OO  HHZ I U
A01A OO  HHZ I U
A02A OO  HHZ I D
A03A OO  HHZ I D
A04A OO  HHZ I D
                                                                     26 
2022 911 459 1.7346N 0.60130W 2.22 1.31  0.30  0.20 1.00             27 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I D
ACC1 OO  HHZ I D
AEC2 OO  HHZ I U
AEC3 OO  HHZ I D
AID1 OO  HHZ I D
A01A OO  HHZ I D
A02A OO  HHZ I D
A03A OO  HHZ I U
A04A OO  HHZ I U
A06A OO  HHZ I D
                                                                     27 
2022 911133756.4345N59.82130W 0.84 1.66  0.30  0.20 1.00             28 
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
A01A OO  HHZ I D
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I D
A05A OO  HHZ I U
A06A OO  HHZ I D
A07A OO  HHZ I D
                                                                     28 
2022 911141815.1845N59.76130W 1.50 1.37  0.30  0.20 1.00             29 
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I D
AEC2 OO  HHZ I D
AID1 OO  HHZ I D
A01A OO  HHZ I D
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I D
A05A OO  HHZ I U
A06A OO  HHZ I U
A07A OO  HHZ I U
A08A OO  HHZ I U
A09A OO  HHZ I D
                                                                     29 
2022 911165253.5645N57.24129W59.04 0.68  0.30  0.20 1.00             30 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AID1 OO  HHZ I D
A02A OO  HHZ I D
A05A OO  HHZ I U
A08A OO  HHZ I U
A10A OO  HHZ I U
A13A OO  HHZ I D
                                                                     30 
2022 9111811 9.0245N56.94129W59.28 1.83  0.30  0.20 1.00             31 
AAS2 OO  HHZ I D
ACC1 OO  HHZ I U
AEC1 OO  HHZ I D
AEC2 OO  HHZ I U
AEC3 OO  HHZ I U
AID1 OO  HHZ I U
A08A OO  HHZ I U
A10A OO  HHZ I U
A12A OO  HHZ I D
                                                                     31 
2022 911234425.0946N 0.54130W 1.68 1.54  0.30  0.20 1.00             32 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I D
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
AEC2 OO  HHZ I D
AEC3 OO  HHZ I U
AID1 OO  HHZ I D
A02A OO  HHZ I D
A03A OO  HHZ I U
A04A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I U
                                                                     32 
2022 911234557.1445N56.04129W59.64 1.17  0.30  0.20 1.00             33 
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I D
AEC2 OO  HHZ I D
AEC3 OO  HHZ I U
AID1 OO  HHZ I U
A05A OO  HHZ I U
A12A OO  HHZ I U
A14A OO  HHZ I D
                                                                     33 
2022 912 23631.6745N57.30129W59.64 1.43  0.30  0.20 1.00             34 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
AEC1 OO  HHZ I U
AEC2 OO  HHZ I U
AEC3 OO  HHZ I D
AID1 OO  HHZ I U
A05A OO  HHZ I U
A07A OO  HHZ I U
A08A OO  HHZ I U
A10A OO  HHZ I U
A11A OO  HHZ I U
                                                                     34 
2022 912 244 4.6445N57.06129W59.46 1.54  0.30  0.20 1.00             35 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
AEC1 OO  HHZ I D
AEC2 OO  HHZ I D
AEC3 OO  HHZ I U
AID1 OO  HHZ I D
A05A OO  HHZ I U
A08A OO  HHZ I U
A10A OO  HHZ I U
                                                                     35 
