ACC1    70.1   95.6 -1 -1    0.00    0.00
AEC2   205.9   95.7 -1 -1    0.00    0.00
AEC3   154.6  101.8 -1  1    0.00    0.00
A01A   180.6   65.1  1  1    0.00    0.00
A02A   216.5   72.9 -1 -1    0.00    0.00
A03A   314.2   49.0  1  1    0.00    0.00
A04A    83.2   62.4  1  1    0.00    0.00
A06A   129.9   74.8 -1  1    0.00    0.00
A07A   146.8   85.3 -1  1    0.00    0.00
A09A   342.9  104.1  1  1    0.00    0.00
A02A   216.5   72.9  0  0    0.64    0.92
A03A   314.2   49.0  0  0    0.79    0.52
A04A    83.2   62.4  0  0    0.28    1.59
A06A   129.9   74.8  0  0    0.41    0.92
              20  12  11   1 1
AAS1   326.5   73.6 -1 -1    0.00    0.00
AAS2   292.1  105.4  1  1    0.00    0.00
ACC1    72.3   91.7  1  1    0.00    0.00
AEC1   267.2   90.7 -1  1    0.00    0.00
AEC3   161.8   98.8 -1 -1    0.00    0.00
AID1   192.0  105.3 -1 -1    0.00    0.00
A05A   131.8   76.6 -1  1    0.00    0.00
A06A   147.8   78.2  1  1    0.00    0.00
A07A   158.9   89.4 -1 -1    0.00    0.00
A08A   352.3  106.1  1  1    0.00    0.00
A11A   313.9  105.5  1  1    0.00    0.00
A08A   352.3  106.1  0  0    0.46    0.90
              21  16  12   4 1
AAS1   358.2   90.6 -1 -1    0.00    0.00
AAS2   314.0  102.1  1 -1    0.00    0.00
ACC1    51.5  101.7  1 -1    0.00    0.00
AEC1   310.8   85.2 -1 -1    0.00    0.00
AEC2   219.9   75.3 -1 -1    0.00    0.00
AEC3   136.7   89.4 -1 -1    0.00    0.00
AID1   185.8   88.2  1 -1    0.00    0.00
A01A    45.4   20.2  1  1    0.00    0.00
A02A   289.9   41.4  1  1    0.00    0.00
A03A   350.2   80.6  1 -1    0.00    0.00
A04A    41.1   81.3 -1 -1    0.00    0.00
A13A   351.5  101.8 -1 -1    0.00    0.00
A02A   289.9   41.4  0  0    0.81    1.11
A03A   350.2   80.6  0  0    0.19    1.18
A04A    41.1   81.3  0  0    0.53    1.19
A13A   351.5  101.8  0  0    0.68    1.06
              22  15  10   5 1
AAS2   205.6   91.1  1  1    0.00    0.00
AEC1   180.0   93.9 -1  1    0.00    0.00
AEC2   175.0   95.5  1  1    0.00    0.00
AEC3   157.4   95.7  1  1    0.00    0.00
A01A   162.9   94.9 -1  1    0.00    0.00
A02A   170.0   94.7  1  1    0.00    0.00
A03A   163.1   93.5  1  1    0.00    0.00
A04A   148.9   94.3 -1  1    0.00    0.00
A06A   153.1   94.9  1  1    0.00    0.00
A09A   144.4   56.7 -1 -1    0.00    0.00
A01A   162.9   94.9  0  0    0.40    1.50
A02A   170.0   94.7  0  0    0.79    1.50
A03A   163.1   93.5  0  0   -0.07    1.67
A04A   148.9   94.3  0  0    0.52    1.58
A06A   153.1   94.9  0  0    0.54    1.51
              23  13  10   3 1
AAS1   108.2   38.4  1  1    0.00    0.00
AAS2   276.9   81.2  1  1    0.00    0.00
ACC1    98.1   88.3 -1  1    0.00    0.00
AEC1   214.1   68.4  1 -1    0.00    0.00
AEC2   183.7   89.2 -1 -1    0.00    0.00
AEC3   151.9   92.4 -1 -1    0.00    0.00
